path,label
train\cat\cat.2096.jpg,cat
train\cat\cat.170.jpg,cat
train\cat\cat.10231.jpg,cat
train\cat\cat.7013.jpg,cat
train\cat\cat.1536.jpg,cat
train\cat\cat.7073.jpg,cat
train\cat\cat.3.jpg,cat
train\cat\cat.11092.jpg,cat
train\cat\cat.564.jpg,cat
train\cat\cat.8270.jpg,cat
train\cat\cat.5570.jpg,cat
train\cat\cat.6027.jpg,cat
train\cat\cat.11090.jpg,cat
train\cat\cat.1932.jpg,cat
train\cat\cat.8554.jpg,cat
train\cat\cat.8420.jpg,cat
train\cat\cat.11890.jpg,cat
train\cat\cat.7163.jpg,cat
train\cat\cat.7545.jpg,cat
train\cat\cat.6118.jpg,cat
train\cat\cat.3856.jpg,cat
train\cat\cat.1432.jpg,cat
train\cat\cat.4920.jpg,cat
train\cat\cat.12184.jpg,cat
train\cat\cat.7433.jpg,cat
train\cat\cat.6288.jpg,cat
train\cat\cat.2635.jpg,cat
train\cat\cat.10439.jpg,cat
train\cat\cat.12399.jpg,cat
train\cat\cat.8701.jpg,cat
train\cat\cat.8586.jpg,cat
train\cat\cat.7103.jpg,cat
train\cat\cat.6698.jpg,cat
train\cat\cat.7047.jpg,cat
train\cat\cat.3670.jpg,cat
train\cat\cat.811.jpg,cat
train\cat\cat.8031.jpg,cat
train\cat\cat.398.jpg,cat
train\cat\cat.9589.jpg,cat
train\cat\cat.11985.jpg,cat
train\cat\cat.2772.jpg,cat
train\cat\cat.10363.jpg,cat
train\cat\cat.11374.jpg,cat
train\cat\cat.9476.jpg,cat
train\cat\cat.4816.jpg,cat
train\cat\cat.8152.jpg,cat
train\cat\cat.10746.jpg,cat
train\cat\cat.51.jpg,cat
train\cat\cat.311.jpg,cat
train\cat\cat.9006.jpg,cat
train\cat\cat.3938.jpg,cat
train\cat\cat.6000.jpg,cat
train\cat\cat.10605.jpg,cat
train\cat\cat.2525.jpg,cat
train\cat\cat.8925.jpg,cat
train\cat\cat.11517.jpg,cat
train\cat\cat.6995.jpg,cat
train\cat\cat.7241.jpg,cat
train\cat\cat.8912.jpg,cat
train\cat\cat.5332.jpg,cat
train\cat\cat.4455.jpg,cat
train\cat\cat.6754.jpg,cat
train\cat\cat.10718.jpg,cat
train\cat\cat.1244.jpg,cat
train\cat\cat.2996.jpg,cat
train\cat\cat.9443.jpg,cat
train\cat\cat.491.jpg,cat
train\cat\cat.9153.jpg,cat
train\cat\cat.11217.jpg,cat
train\cat\cat.3159.jpg,cat
train\cat\cat.5676.jpg,cat
train\cat\cat.8298.jpg,cat
train\cat\cat.6983.jpg,cat
train\cat\cat.9466.jpg,cat
